Aclacinomycin A	Aclacinomycin A	Aclacinomycin A	Blebbistatin	Camptothecin	Cycloheximide	Doxorubicin hydrochloride	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	H-7, Dihydrochloride	Methotrexate	Mitomycin C	Monastrol	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Trichostatin A	Vincristine
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
Geldanamycin	44	45	45	42	42	49	43	38	38	38	38	38	38	38	38	38	38	38	38	38	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	25	33	52	49	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	46	37
H-7, Dihydrochloride	29	31	31	43	54	19	30	26	26	26	26	26	26	26	26	26	26	26	26	26	26	25	25	25	25	25	25	25	25	25	25	25	25	25	25	100	55	26	39	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	46	42
Methotrexate	36	38	38	55	59	26	34	28	28	28	28	28	28	28	28	28	28	28	28	28	28	33	33	33	33	33	33	33	33	33	33	33	33	33	33	55	100	36	44	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	52	51
Mitomycin C	34	36	36	39	36	44	32	28	28	28	28	28	28	28	28	28	28	28	28	28	28	52	52	52	52	52	52	52	52	52	52	52	52	52	52	26	36	100	42	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	39	35
Monastrol	55	57	57	54	49	32	55	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	39	44	42	100	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	53	48
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Rapamycin	59	57	57	40	46	47	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	25	34	49	46	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	37	43
Trichostatin A	41	42	42	65	51	34	40	33	33	33	33	33	33	33	33	33	33	33	33	33	33	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	52	39	53	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	100	42
Vincristine	53	54	54	52	65	27	52	50	50	50	50	50	50	50	50	50	50	50	50	50	50	37	37	37	37	37	37	37	37	37	37	37	37	37	37	42	51	35	48	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	42	100
